Age,Gender,Weight (kg),Daily Water Intake (liters),Physical Activity Level,Weather,Hydration Level
48,Male,55,2.66,High,Cold,Good
66,Male,64,2.21,Moderate,Normal,Good
30,Male,83,2.08,Low,Normal,Poor
27,Male,64,3.56,Moderate,Hot,Good
33,Male,86,2.5,Low,Cold,Poor
69,Female,81,1.89,Moderate,Cold,Poor
52,Male,51,1.5,Low,Cold,Poor
57,Female,85,3.08,Moderate,Hot,Good
69,Male,109,3.58,High,Normal,Good
30,Female,82,2.41,Low,Cold,Poor
59,Female,98,2.64,Moderate,Normal,Poor
31,Male,108,4.52,High,Normal,Good
48,Male,57,2.98,High,Normal,Good
18,Male,108,3.46,Moderate,Cold,Good
67,Female,58,2.24,Low,Hot,Good
20,Female,92,3.57,High,Cold,Good
44,Male,109,3.22,Low,Cold,Poor
23,Female,103,3.84,Low,Hot,Good
68,Female,82,1.88,Low,Normal,Poor
27,Male,53,1.5,Low,Normal,Poor
69,Male,95,3.35,High,Normal,Good
26,Female,49,3.62,High,Hot,Good
35,Male,73,2.44,Low,Hot,Good
22,Male,102,2.8,Low,Cold,Poor
22,Male,81,4.06,High,Hot,Good
62,Male,81,3.32,Low,Hot,Good
59,Female,60,2.67,High,Cold,Good
40,Male,91,3.46,Moderate,Normal,Good
29,Female,67,2.28,Moderate,Normal,Good
59,Male,96,3.37,Low,Hot,Good
63,Male,73,2.52,Moderate,Cold,Good
63,Female,60,2.85,High,Normal,Good
54,Female,55,1.85,Low,Hot,Good
42,Female,102,4.45,High,Normal,Good
67,Female,99,4.02,High,Normal,Good
52,Female,65,1.5,Low,Cold,Poor
18,Male,71,3.12,High,Normal,Good
19,Female,109,3.11,Low,Normal,Poor
54,Female,85,2.33,Low,Cold,Poor
30,Female,89,3.91,High,Hot,Good
41,Male,71,1.72,Low,Normal,Poor
37,Female,52,2.25,High,Normal,Good
49,Female,58,3.08,Moderate,Hot,Good
44,Female,71,3.19,Low,Hot,Good
67,Male,92,2.49,Low,Cold,Poor
41,Male,53,2.27,High,Normal,Good
48,Female,103,2.34,Low,Cold,Poor
48,Male,48,3.45,High,Hot,Good
59,Male,93,3.31,Moderate,Hot,Good
59,Male,76,3.27,High,Hot,Good
40,Female,71,2.5,Moderate,Cold,Good
59,Female,103,3.44,Moderate,Cold,Good
68,Male,65,2.5,Moderate,Hot,Good
67,Male,84,1.89,Low,Cold,Poor
59,Male,60,2.11,High,Normal,Good
52,Female,107,4.34,Moderate,Hot,Good
41,Female,72,3.23,High,Cold,Good
46,Male,75,2.02,Moderate,Cold,Poor
59,Male,94,3.65,High,Cold,Good
22,Female,92,4.2,High,Normal,Good
20,Female,74,3.09,Low,Hot,Good
45,Male,106,3.67,Low,Hot,Good
32,Female,70,3.5,High,Hot,Good
26,Male,107,3.58,Low,Hot,Good
21,Female,92,4.35,High,Hot,Good
22,Female,50,1.5,Low,Cold,Good
68,Male,56,1.5,Moderate,Normal,Poor
26,Male,51,1.7,Moderate,Cold,Good
68,Female,99,3.26,Low,Hot,Good
39,Male,62,3.41,High,Hot,Good
66,Female,75,3.73,High,Hot,Good
43,Male,78,3.36,Low,Hot,Good
59,Female,49,3.04,High,Hot,Good
52,Male,45,2.11,High,Normal,Good
49,Female,107,5.02,High,Hot,Good
30,Male,74,3.51,High,Normal,Good
50,Male,83,2.39,Low,Normal,Poor
46,Female,74,2.27,Moderate,Normal,Good
56,Male,66,1.54,Moderate,Cold,Poor
39,Male,76,3.56,Moderate,Hot,Good
28,Female,61,3.02,Moderate,Hot,Good
44,Male,76,2.02,Low,Cold,Poor
45,Male,84,2.17,Low,Normal,Poor
31,Female,86,3.19,High,Cold,Good
19,Female,45,1.5,Low,Cold,Good
36,Female,108,4.24,Low,Hot,Good
35,Male,58,1.75,Moderate,Cold,Good
33,Female,98,3.46,Low,Hot,Good
33,Male,75,2.25,Low,Cold,Good
47,Female,67,2.27,Moderate,Cold,Good
30,Male,76,2.94,High,Normal,Good
59,Male,89,2.45,Low,Normal,Poor
21,Female,62,3.23,High,Normal,Good
45,Male,102,3.87,High,Cold,Good
43,Male,100,4.58,High,Hot,Good
45,Female,78,3.19,Low,Hot,Good
27,Male,66,2.34,Moderate,Cold,Good
61,Female,53,1.64,High,Cold,Good
59,Female,109,4.46,Moderate,Hot,Good
43,Female,62,2.62,Moderate,Hot,Good
63,Male,80,2.84,High,Normal,Good
61,Male,49,1.62,Low,Normal,Good
21,Female,93,2.66,Low,Cold,Poor
38,Male,52,1.7,Moderate,Cold,Good
69,Female,65,1.5,Low,Cold,Poor
22,Male,105,4.12,Low,Hot,Good
35,Male,48,1.81,Moderate,Cold,Good
32,Male,82,4.41,High,Hot,Good
65,Female,90,3.48,Moderate,Hot,Good
21,Female,63,3.32,High,Hot,Good
44,Female,86,3.26,Moderate,Cold,Good
65,Female,69,2.22,Low,Hot,Good
27,Male,106,3.33,Moderate,Cold,Good
24,Male,88,3.6,High,Cold,Good
44,Female,86,2.78,Low,Normal,Good
20,Female,57,2.26,Low,Hot,Good
55,Female,45,1.5,Moderate,Normal,Good
26,Female,53,3.22,Moderate,Hot,Good
41,Female,54,1.7,Low,Normal,Good
30,Female,73,2.21,Moderate,Normal,Good
44,Male,62,1.59,Low,Normal,Poor
26,Male,51,3.18,High,Hot,Good
47,Female,105,4.16,Moderate,Hot,Good
53,Male,61,2.07,Low,Hot,Good
23,Female,83,2.41,Low,Cold,Poor
59,Female,103,3.86,High,Normal,Good
48,Male,73,3.13,High,Normal,Good
18,Female,91,3.04,Low,Normal,Good
33,Male,91,3.18,Low,Hot,Good
56,Male,52,2.56,High,Normal,Good
43,Male,51,2.53,Moderate,Normal,Good
65,Male,47,1.5,Low,Normal,Good
42,Female,58,1.89,Low,Normal,Good
28,Male,47,1.5,Low,Cold,Good
48,Female,61,1.5,Low,Normal,Poor
36,Male,99,4.22,High,Hot,Good
59,Male,84,2.51,Low,Normal,Poor
40,Male,84,2.76,Moderate,Normal,Good
24,Male,94,2.75,Low,Cold,Poor
49,Female,45,1.97,Moderate,Normal,Good
53,Female,93,3.85,High,Hot,Good
20,Male,45,2.83,High,Normal,Good
55,Male,87,3.21,Moderate,Normal,Good
53,Male,77,1.61,Low,Cold,Poor
55,Male,55,2.2,Low,Hot,Good
18,Male,58,2.15,Low,Normal,Good
38,Female,78,3.98,High,Hot,Good
58,Female,58,2.74,High,Hot,Good
52,Male,86,3.81,Moderate,Hot,Good
26,Female,77,2.54,High,Cold,Good
21,Female,92,2.36,Low,Cold,Poor
64,Female,70,1.5,Low,Cold,Poor
39,Male,51,2.97,High,Normal,Good
27,Female,50,2.01,Moderate,Cold,Good
57,Female,59,2.95,High,Hot,Good
35,Male,49,2.12,Low,Hot,Good
27,Male,90,2.58,Moderate,Cold,Poor
62,Female,54,1.5,Moderate,Cold,Poor
30,Female,76,2.99,Low,Hot,Good
32,Male,59,3.23,High,Hot,Good
37,Female,94,3.68,Moderate,Normal,Good
34,Male,70,2.8,High,Cold,Good
29,Male,102,5.21,High,Hot,Good
31,Female,72,2.63,Moderate,Cold,Good
66,Male,85,3.34,Low,Hot,Good
40,Female,99,4.03,Low,Hot,Good
53,Female,70,1.63,Moderate,Cold,Poor
35,Female,57,2.71,Low,Hot,Good
57,Male,108,4.11,Low,Hot,Good
39,Female,104,2.67,Low,Cold,Poor
57,Female,72,3.52,Moderate,Hot,Good
20,Female,107,3.67,Low,Normal,Good
49,Female,72,2.47,Low,Normal,Good
20,Male,97,5.03,High,Hot,Good
64,Female,103,3.03,High,Cold,Poor
45,Male,106,3.48,Moderate,Cold,Good
24,Male,67,2.39,Moderate,Normal,Good
43,Female,72,3.62,High,Hot,Good
65,Female,93,2.16,Low,Normal,Poor
19,Female,51,2.09,High,Cold,Good
38,Male,53,1.5,Low,Normal,Poor
41,Male,77,2.6,Moderate,Normal,Good
35,Female,49,2.16,Moderate,Cold,Good
24,Male,58,2.46,Moderate,Hot,Good
53,Female,79,2.34,Low,Normal,Poor
41,Male,55,2.59,High,Normal,Good
61,Female,95,2.51,Low,Cold,Poor
23,Male,52,2.39,Moderate,Normal,Good
69,Female,72,2.15,Low,Normal,Poor
60,Male,81,2.88,Moderate,Normal,Good
41,Male,107,4.12,High,Normal,Good
46,Male,107,4.1,Moderate,Normal,Good
33,Female,81,4.16,High,Hot,Good
43,Male,63,2.53,Low,Hot,Good
35,Male,76,2.27,Low,Cold,Poor
29,Female,102,3.45,Low,Hot,Good
38,Male,73,2.75,High,Normal,Good
29,Male,102,3.13,Moderate,Cold,Good
29,Female,67,3.77,High,Hot,Good
43,Male,107,3.77,Moderate,Normal,Good
39,Male,83,3.1,Low,Hot,Good
45,Male,92,3.3,Moderate,Cold,Good
63,Female,91,3.17,Low,Hot,Good
58,Male,92,2.61,Low,Normal,Poor
52,Male,69,2.76,High,Normal,Good
44,Female,81,4.02,Moderate,Hot,Good
46,Female,102,4.72,High,Hot,Good
51,Male,75,3.58,High,Hot,Good
42,Female,85,3.28,High,Cold,Good
26,Female,103,3.93,High,Cold,Good
44,Male,103,2.8,Low,Cold,Poor
59,Male,47,2.06,Moderate,Hot,Good
35,Male,60,3.5,High,Hot,Good
49,Male,88,3.69,High,Cold,Good
20,Female,104,4.51,High,Hot,Good
46,Male,89,4.3,Moderate,Hot,Good
43,Female,79,3.16,Moderate,Hot,Good
52,Male,74,3.16,High,Hot,Good
65,Male,101,1.98,Low,Cold,Poor
54,Male,59,1.5,Low,Cold,Poor
65,Male,58,1.5,Moderate,Cold,Poor
50,Female,82,3.54,Low,Hot,Good
28,Female,55,2.64,Moderate,Normal,Good
43,Female,69,2.88,High,Normal,Good
39,Female,70,2.79,High,Normal,Good
26,Male,84,2.64,Moderate,Cold,Good
24,Male,74,1.54,Low,Cold,Poor
47,Female,102,3.83,Low,Hot,Good
30,Female,81,3.13,Low,Hot,Good
23,Female,70,2.47,Moderate,Normal,Good
31,Female,52,2.09,High,Normal,Good
57,Female,83,3.9,High,Hot,Good
60,Female,107,3.19,Moderate,Normal,Poor
30,Male,102,4.95,High,Hot,Good
24,Male,83,3.93,Moderate,Hot,Good
67,Female,60,3.2,Moderate,Hot,Good
68,Male,59,2.93,High,Hot,Good
55,Female,65,3.7,High,Hot,Good
20,Male,109,3.36,Low,Normal,Good
49,Male,56,2.36,Moderate,Normal,Good
19,Male,52,2.33,Low,Hot,Good
22,Female,89,2.5,Low,Normal,Poor
55,Male,47,1.77,Moderate,Cold,Good
55,Male,66,1.65,Low,Cold,Poor
69,Male,76,2.27,Moderate,Cold,Poor
35,Male,100,2.83,Low,Cold,Poor
23,Male,93,2.44,Low,Cold,Poor
48,Female,65,1.69,Low,Normal,Poor
49,Male,45,3.39,High,Hot,Good
25,Male,109,3.84,Moderate,Cold,Good
54,Female,68,2.7,High,Normal,Good
64,Male,106,3.05,Low,Cold,Poor
54,Male,79,3.38,Moderate,Hot,Good
32,Male,86,4.04,Moderate,Hot,Good
60,Female,83,2.57,Low,Hot,Good
58,Female,59,1.5,Moderate,Cold,Poor
35,Female,98,3.18,High,Cold,Good
45,Female,63,3.06,Low,Hot,Good
21,Male,54,3.1,High,Hot,Good
24,Female,88,3.03,Moderate,Cold,Good
47,Male,81,3.23,High,Normal,Good
43,Male,88,3.56,Moderate,Normal,Good
23,Female,95,3.75,Low,Hot,Good
48,Female,85,2.96,Moderate,Cold,Good
50,Male,87,1.97,Low,Cold,Poor
40,Male,47,1.72,Moderate,Normal,Good
58,Female,92,2.24,Low,Normal,Poor
30,Female,55,2.06,Moderate,Cold,Good
66,Female,108,2.94,Moderate,Cold,Poor
38,Female,63,2.16,Low,Normal,Good
47,Female,103,3.07,Low,Cold,Poor
40,Female,47,2.61,High,Normal,Good
41,Female,106,4.36,High,Normal,Good
64,Female,81,2.6,Moderate,Cold,Good
48,Male,109,3.97,High,Normal,Good
22,Female,106,4.15,Low,Hot,Good
20,Female,64,2.95,High,Cold,Good
60,Male,86,3.23,High,Normal,Good
22,Female,83,4.17,Moderate,Hot,Good
23,Male,86,2.88,Low,Hot,Good
27,Female,83,3.18,Low,Hot,Good
56,Male,55,1.5,Low,Cold,Poor
33,Female,77,2.58,Low,Hot,Good
49,Male,103,3.88,Low,Hot,Good
32,Male,87,3.7,High,Cold,Good
66,Male,104,2.62,Low,Cold,Poor
62,Male,91,2.84,Moderate,Normal,Good
25,Female,107,3.31,Moderate,Normal,Good
34,Female,46,1.5,Low,Cold,Good
21,Male,70,2.75,Low,Hot,Good
22,Male,49,2.87,Moderate,Hot,Good
44,Male,47,1.5,Low,Cold,Good
18,Female,52,2.83,High,Normal,Good
23,Male,94,2.1,Low,Cold,Poor
47,Male,84,2.59,Low,Normal,Good
27,Female,77,3.05,High,Normal,Good
66,Male,96,3.71,High,Normal,Good
26,Female,81,3.0,Low,Hot,Good
21,Female,104,3.87,Low,Hot,Good
27,Male,75,1.81,Low,Cold,Poor
30,Female,104,3.06,Low,Cold,Poor
63,Male,70,2.26,Low,Normal,Good
26,Male,79,2.16,Moderate,Cold,Poor
41,Female,75,3.34,Moderate,Hot,Good
19,Male,85,3.76,High,Hot,Good
51,Male,83,3.43,High,Normal,Good
40,Female,88,2.71,Low,Normal,Good
43,Male,66,3.03,High,Cold,Good
41,Male,84,4.05,Moderate,Hot,Good
69,Male,55,2.15,High,Normal,Good
29,Female,70,2.97,High,Normal,Good
20,Female,59,1.83,Low,Normal,Good
41,Male,55,3.2,High,Hot,Good
50,Male,101,3.27,Low,Hot,Good
60,Female,88,2.51,Low,Cold,Poor
53,Male,56,2.3,Low,Hot,Good
67,Female,73,2.23,High,Cold,Good
41,Male,60,1.9,Moderate,Cold,Good
23,Female,86,2.64,Moderate,Cold,Good
55,Female,52,3.26,High,Hot,Good
34,Male,102,2.34,Low,Cold,Poor
61,Male,53,2.76,Moderate,Hot,Good
58,Female,50,1.78,Moderate,Cold,Good
27,Male,62,2.31,Low,Normal,Good
36,Male,70,2.67,High,Cold,Good
23,Male,98,4.6,High,Hot,Good
21,Female,102,4.54,High,Hot,Good
59,Female,70,3.86,High,Hot,Good
57,Female,100,3.9,Moderate,Hot,Good
53,Female,83,2.93,High,Normal,Good
51,Female,65,2.83,High,Normal,Good
42,Female,66,3.65,High,Hot,Good
31,Female,70,2.32,Low,Normal,Good
43,Female,82,3.83,High,Hot,Good
56,Male,78,2.66,High,Normal,Good
30,Female,59,1.5,Low,Normal,Poor
44,Male,54,1.86,High,Cold,Good
54,Male,51,1.61,High,Cold,Good
69,Male,55,1.5,Low,Normal,Poor
62,Female,92,2.46,Moderate,Cold,Poor
46,Male,77,2.89,Low,Hot,Good
64,Male,97,4.6,High,Hot,Good
48,Female,71,2.08,Low,Cold,Poor
53,Male,93,3.42,Moderate,Normal,Good
54,Male,88,1.77,Low,Cold,Poor
40,Male,86,3.25,High,Normal,Good
30,Male,45,2.41,Low,Hot,Good
57,Female,90,3.23,Moderate,Hot,Good
40,Male,66,1.5,Low,Cold,Poor
69,Male,72,2.43,Moderate,Normal,Good
34,Male,108,3.5,Moderate,Normal,Good
67,Male,61,1.86,Low,Normal,Good
30,Male,97,3.92,High,Cold,Good
59,Male,70,1.84,Low,Normal,Poor
65,Male,74,1.81,Moderate,Cold,Poor
65,Female,55,2.0,Moderate,Cold,Good
43,Male,70,1.66,Low,Normal,Poor
48,Female,88,3.93,High,Normal,Good
40,Female,69,2.85,Low,Hot,Good
29,Male,109,3.81,Low,Hot,Good
51,Female,76,3.08,Low,Hot,Good
67,Male,109,2.85,Low,Cold,Poor
29,Male,57,1.94,Moderate,Cold,Good
38,Female,86,3.09,Moderate,Cold,Good
27,Female,104,3.18,Moderate,Cold,Good
28,Male,45,2.34,Moderate,Hot,Good
30,Male,106,4.67,High,Hot,Good
63,Female,71,1.81,Low,Cold,Poor
19,Male,72,3.01,Moderate,Normal,Good
60,Male,65,2.4,Moderate,Hot,Good
48,Male,58,1.93,Low,Normal,Good
56,Male,106,4.61,High,Hot,Good
55,Male,102,4.03,High,Hot,Good
39,Male,48,1.69,Low,Hot,Good
57,Male,52,2.7,High,Normal,Good
69,Female,102,3.72,Low,Hot,Good
26,Male,57,1.5,Low,Normal,Poor
38,Female,91,2.03,Low,Cold,Poor
61,Female,74,3.63,High,Hot,Good
57,Female,68,2.66,Low,Hot,Good
47,Female,95,3.97,Moderate,Hot,Good
31,Female,52,2.4,High,Normal,Good
55,Male,76,4.02,High,Hot,Good
62,Male,105,3.87,Moderate,Hot,Good
40,Male,91,2.95,Moderate,Normal,Good
24,Female,96,4.83,High,Hot,Good
42,Male,67,3.47,Moderate,Hot,Good
50,Female,55,2.34,High,Cold,Good
44,Male,91,2.99,Moderate,Cold,Good
25,Male,99,3.53,Low,Hot,Good
20,Male,64,1.58,Low,Cold,Poor
52,Female,64,1.89,Low,Normal,Poor
26,Female,60,2.47,High,Normal,Good
25,Male,102,3.51,Low,Normal,Good
29,Male,93,3.19,Low,Normal,Good
35,Male,51,2.65,High,Cold,Good
65,Female,46,2.13,Moderate,Hot,Good
54,Male,74,2.42,High,Normal,Good
36,Male,83,4.07,Moderate,Hot,Good
54,Male,97,2.68,Low,Normal,Poor
46,Male,75,3.97,High,Hot,Good
45,Female,82,3.08,Moderate,Cold,Good
61,Male,97,3.09,High,Cold,Good
21,Male,96,4.23,High,Hot,Good
31,Male,58,3.11,Moderate,Hot,Good
60,Female,103,2.75,Low,Normal,Poor
35,Male,104,4.68,High,Hot,Good
32,Female,103,2.91,Moderate,Cold,Poor
53,Female,80,2.4,Moderate,Cold,Good
55,Female,55,1.5,Low,Normal,Poor
62,Female,95,3.2,Moderate,Cold,Good
52,Female,91,3.48,Moderate,Hot,Good
59,Male,81,1.86,Low,Cold,Poor
47,Female,90,3.37,Moderate,Normal,Good
69,Male,59,1.73,Moderate,Normal,Poor
20,Female,85,3.16,Moderate,Cold,Good
22,Female,72,3.04,Moderate,Hot,Good
67,Male,62,1.79,Low,Hot,Poor
42,Female,71,3.06,Moderate,Normal,Good
24,Female,71,2.51,Low,Hot,Good
25,Female,75,2.06,Low,Normal,Poor
21,Female,48,1.78,Low,Normal,Good
40,Female,96,3.56,Low,Hot,Good
62,Male,56,2.55,High,Cold,Good
39,Male,85,3.41,High,Normal,Good
34,Male,101,4.22,Moderate,Hot,Good
50,Male,99,2.86,Moderate,Cold,Poor
26,Female,76,2.97,Moderate,Cold,Good
33,Male,56,1.59,Moderate,Cold,Poor
44,Male,53,3.04,Moderate,Hot,Good
63,Female,49,1.95,High,Normal,Good
38,Female,45,1.71,High,Cold,Good
26,Male,82,2.5,Moderate,Cold,Good
69,Male,63,2.73,High,Normal,Good
45,Female,92,3.33,Low,Hot,Good
55,Female,96,2.75,Low,Normal,Poor
35,Male,53,2.11,Low,Hot,Good
27,Female,82,4.61,High,Hot,Good
58,Female,64,1.5,Low,Cold,Poor
27,Female,60,2.7,High,Normal,Good
67,Male,64,2.59,High,Cold,Good
67,Female,51,2.23,High,Cold,Good
46,Male,49,2.44,High,Cold,Good
52,Male,109,3.27,Low,Normal,Good
35,Male,51,1.86,Low,Hot,Good
30,Male,82,3.46,Moderate,Normal,Good
59,Female,88,3.07,Moderate,Normal,Good
30,Male,69,2.47,Moderate,Normal,Good
46,Male,62,2.43,Moderate,Normal,Good
35,Female,107,2.99,Low,Normal,Poor
24,Female,99,3.33,High,Cold,Good
29,Female,96,3.03,Low,Cold,Good
63,Female,88,3.14,Low,Hot,Good
26,Female,56,2.17,High,Cold,Good
26,Male,66,2.98,Low,Hot,Good
50,Male,91,3.6,Moderate,Hot,Good
46,Male,77,2.97,Moderate,Cold,Good
44,Male,105,2.71,Low,Cold,Poor
65,Male,92,3.42,Moderate,Normal,Good
37,Female,46,1.84,Low,Hot,Good
39,Male,65,2.81,High,Cold,Good
49,Male,57,1.5,Low,Cold,Poor
41,Male,108,3.53,Low,Hot,Good
39,Female,105,2.87,Low,Cold,Poor
43,Female,48,2.17,High,Normal,Good
29,Female,77,4.34,High,Hot,Good
53,Male,96,2.84,Moderate,Cold,Poor
64,Male,100,2.12,Low,Cold,Poor
61,Female,79,2.43,Low,Hot,Good
46,Female,100,3.57,Moderate,Cold,Good
54,Male,104,3.64,Moderate,Normal,Good
65,Female,79,3.49,High,Normal,Good
68,Male,67,3.7,High,Hot,Good
46,Male,100,4.06,High,Cold,Good
26,Female,79,1.71,Low,Cold,Poor
35,Male,88,2.4,Moderate,Cold,Poor
65,Female,45,2.96,High,Hot,Good
57,Male,107,3.55,Moderate,Cold,Good
57,Female,63,1.5,Low,Cold,Poor
61,Male,109,3.43,Low,Normal,Good
30,Female,74,2.66,Moderate,Normal,Good
68,Female,107,3.83,High,Normal,Good
28,Male,93,3.67,High,Normal,Good
68,Female,84,2.18,Moderate,Cold,Poor
64,Male,47,1.99,Low,Hot,Good
55,Female,106,3.39,High,Cold,Good
39,Female,75,2.84,Moderate,Cold,Good
62,Male,58,1.97,Moderate,Cold,Good
44,Female,82,3.01,Moderate,Normal,Good
64,Male,98,3.55,Low,Hot,Good
26,Female,59,1.79,Low,Normal,Good
66,Female,60,1.5,Low,Cold,Poor
24,Male,87,2.91,Low,Normal,Good
19,Male,104,5.18,High,Hot,Good
20,Male,45,2.64,High,Normal,Good
40,Female,90,2.26,Low,Normal,Poor
35,Male,79,3.44,High,Cold,Good
40,Male,57,2.41,Moderate,Normal,Good
31,Male,81,2.02,Low,Cold,Poor
39,Male,72,2.32,Moderate,Normal,Good
67,Female,73,3.04,High,Normal,Good
37,Male,79,3.07,Moderate,Normal,Good
19,Female,102,3.26,Low,Normal,Good
47,Male,100,3.46,Low,Normal,Good
46,Male,96,2.92,Moderate,Cold,Good
46,Female,104,4.78,Moderate,Hot,Good
37,Male,50,1.5,Low,Cold,Good
39,Female,72,3.22,Moderate,Hot,Good
58,Female,107,4.33,High,Normal,Good
32,Female,73,2.86,High,Normal,Good
51,Male,46,2.4,High,Normal,Good
28,Female,63,1.92,Low,Normal,Good
50,Male,48,2.54,High,Cold,Good
20,Male,105,2.85,Moderate,Cold,Poor
23,Male,100,3.14,Moderate,Normal,Good
34,Male,86,2.64,Low,Cold,Good
41,Male,46,1.5,Low,Cold,Good
54,Female,61,1.58,Low,Cold,Poor
60,Male,83,2.3,Moderate,Cold,Poor
21,Male,65,3.15,High,Hot,Good
49,Female,58,1.5,Low,Cold,Poor
63,Female,64,1.5,Low,Normal,Poor
52,Female,92,2.53,Low,Normal,Poor
53,Male,88,3.04,Moderate,Normal,Good
59,Male,88,2.91,Low,Hot,Good
64,Male,50,1.89,High,Normal,Good
60,Female,53,2.78,Moderate,Hot,Good
62,Female,62,2.18,High,Cold,Good
42,Male,102,3.72,Low,Hot,Good
66,Female,45,2.82,High,Hot,Good
66,Female,73,3.62,High,Hot,Good
51,Female,63,2.4,High,Normal,Good
37,Female,96,3.74,Moderate,Normal,Good
21,Male,74,3.86,High,Hot,Good
37,Male,78,3.53,High,Normal,Good
67,Male,71,2.55,High,Normal,Good
58,Female,109,3.6,High,Cold,Good
66,Female,68,2.88,Moderate,Hot,Good
29,Female,55,2.28,Low,Hot,Good
30,Male,91,3.96,Moderate,Hot,Good
42,Male,61,2.31,Low,Hot,Good
68,Male,96,2.45,Low,Cold,Poor
34,Female,104,4.74,High,Hot,Good
33,Female,107,3.68,High,Cold,Good
66,Male,49,1.68,Low,Hot,Good
49,Female,71,2.88,Moderate,Hot,Good
65,Male,51,1.66,Moderate,Normal,Good
56,Female,62,2.26,Moderate,Normal,Good
56,Male,109,4.63,Moderate,Hot,Good
68,Male,82,2.89,High,Cold,Good
55,Female,86,2.82,High,Normal,Good
47,Male,108,3.96,High,Normal,Good
50,Male,101,3.5,Low,Hot,Good
46,Male,49,2.77,High,Hot,Good
21,Female,52,1.74,Low,Normal,Good
52,Female,57,2.25,Low,Hot,Good
57,Female,63,2.61,High,Normal,Good
21,Male,103,4.24,High,Normal,Good
41,Male,75,2.16,Moderate,Cold,Poor
26,Female,89,4.29,Moderate,Hot,Good
64,Female,46,1.83,Low,Hot,Good
43,Female,72,2.47,High,Cold,Good
62,Female,54,1.83,Moderate,Normal,Good
57,Male,101,3.38,Moderate,Normal,Good
44,Female,83,3.36,High,Cold,Good
36,Male,53,1.87,Low,Normal,Good
45,Female,105,3.97,High,Normal,Good
39,Female,77,2.45,Low,Normal,Good
18,Male,69,3.53,High,Normal,Good
35,Female,107,4.55,Moderate,Hot,Good
19,Female,84,2.81,Low,Hot,Good
19,Male,48,2.45,High,Cold,Good
22,Male,66,2.59,Low,Hot,Good
56,Female,91,2.94,High,Cold,Good
61,Male,78,2.6,Moderate,Normal,Good
46,Female,97,3.99,Moderate,Hot,Good
65,Female,51,1.84,Low,Hot,Good
31,Male,105,3.06,Low,Cold,Poor
41,Female,63,3.25,Moderate,Hot,Good
40,Male,89,4.52,High,Hot,Good
46,Female,45,1.5,Moderate,Normal,Good
61,Male,106,2.69,Low,Cold,Poor
32,Male,94,3.9,High,Normal,Good
50,Female,56,3.62,High,Hot,Good
38,Male,58,2.99,High,Hot,Good
38,Female,108,2.87,Low,Cold,Poor
67,Male,58,1.77,Low,Hot,Good
29,Female,90,3.19,Moderate,Cold,Good
22,Male,66,3.15,Moderate,Hot,Good
19,Female,73,1.58,Low,Cold,Poor
53,Male,60,1.67,Moderate,Cold,Poor
50,Male,58,1.64,Low,Cold,Poor
60,Female,99,3.95,Moderate,Hot,Good
48,Male,84,3.22,Low,Hot,Good
68,Male,51,1.5,Low,Cold,Poor
50,Male,52,2.37,High,Normal,Good
25,Female,104,3.56,Moderate,Normal,Good
24,Male,105,4.15,High,Normal,Good
53,Male,71,2.97,High,Cold,Good
40,Female,64,2.77,Moderate,Normal,Good
67,Female,47,1.5,Low,Normal,Good
52,Male,89,2.24,Low,Cold,Poor
48,Male,82,2.69,High,Cold,Good
25,Male,72,2.67,Low,Hot,Good
25,Female,98,3.39,Low,Hot,Good
68,Male,78,1.84,Low,Normal,Poor
27,Male,57,1.91,Low,Normal,Good
38,Female,109,2.97,Low,Cold,Poor
59,Female,55,2.33,Moderate,Hot,Good
24,Female,79,3.25,Moderate,Hot,Good
32,Female,64,1.5,Low,Cold,Poor
54,Male,47,2.51,Moderate,Hot,Good
54,Female,71,2.18,High,Cold,Good
63,Male,91,2.58,Moderate,Normal,Poor
20,Male,73,4.15,High,Hot,Good
67,Male,54,2.68,High,Normal,Good
52,Male,105,3.02,Low,Normal,Poor
28,Female,104,2.82,Low,Cold,Poor
44,Male,99,4.69,High,Hot,Good
47,Male,57,2.14,Moderate,Cold,Good
57,Female,65,3.65,High,Hot,Good
62,Female,82,1.7,Low,Normal,Poor
59,Male,95,4.17,Moderate,Hot,Good
63,Male,87,3.3,Moderate,Normal,Good
42,Male,74,2.66,Moderate,Normal,Good
27,Male,47,1.54,Moderate,Cold,Good
44,Male,89,4.64,High,Hot,Good
63,Male,88,3.59,High,Hot,Good
21,Male,60,2.01,Moderate,Normal,Good
65,Female,92,2.3,Moderate,Cold,Poor
30,Male,89,4.04,High,Hot,Good
36,Male,81,3.43,Low,Hot,Good
59,Female,88,2.17,Low,Cold,Poor
50,Female,65,2.41,Moderate,Normal,Good
68,Female,76,3.64,Moderate,Hot,Good
52,Male,62,2.07,High,Cold,Good
43,Female,104,3.24,Moderate,Normal,Good
41,Male,109,5.18,High,Hot,Good
51,Male,104,4.23,High,Hot,Good
34,Male,65,1.95,Low,Cold,Good
45,Male,88,2.36,Low,Normal,Poor
59,Female,66,2.52,High,Normal,Good
31,Male,70,3.07,High,Normal,Good
30,Female,63,2.9,Moderate,Hot,Good
67,Female,47,1.5,Low,Normal,Good
32,Male,98,3.77,Moderate,Normal,Good
55,Male,94,2.11,Low,Cold,Poor
35,Male,86,1.98,Low,Cold,Poor
